ColorCode,Color,Linetype,Type,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48
100,0,0,0,黑9,Zwart9,Black9,Noir9,Schwarz9,Nero9,ブラック9,Negro9,Черный9,Negro9,Siyah9,Czarny9
101,0,0,0,黑10,Zwart10,Black10,Noir10,Schwarz10,Nero10,ブラック10,Negro10,Черный10,Negro10,Siyah10,Czarny10
102,0,0,0,黑11,Zwart11,Black11,Noir11,Schwarz11,Nero11,ブラック11,Negro11,Черный11,Negro11,Siyah11,Czarny11
103,0,0,0,黑12,Zwart12,Black12,Noir12,Schwarz12,Nero12,ブラック12,Negro12,Черный12,Negro12,Siyah12,Czarny12
104,0,0,0,黑13,Zwart13,Black13,Noir13,Schwarz13,Nero13,ブラック13,Negro13,Черный13,Negro13,Siyah13,Czarny13
105,0,0,0,黑14,Zwart14,Black14,Noir14,Schwarz14,Nero14,ブラック14,Negro14,Черный14,Negro14,Siyah14,Czarny14
106,0,0,0,黑15,Zwart15,Black15,Noir15,Schwarz15,Nero15,ブラック15,Negro15,Черный15,Negro15,Siyah15,Czarny15
107,0,0,0,黑16,Zwart16,Black16,Noir16,Schwarz16,Nero16,ブラック16,Negro16,Черный16,Negro16,Siyah16,Czarny16
108,0,0,0,黑17,Zwart17,Black17,Noir17,Schwarz17,Nero17,ブラック17,Negro17,Черный17,Negro17,Siyah17,Czarny17
109,0,0,0,黑18,Zwart18,Black18,Noir18,Schwarz18,Nero18,ブラック18,Negro18,Черный18,Negro18,Siyah18,Czarny18
110,0,0,0,黑19,Zwart19,Black19,Noir19,Schwarz19,Nero19,ブラック19,Negro19,Черный19,Negro19,Siyah19,Czarny19
111,0,0,0,黑20,Zwart20,Black20,Noir20,Schwarz20,Nero20,ブラック20,Negro20,Черный20,Negro20,Siyah20,Czarny20
112,0,0,0,黑21,Zwart21,Black21,Noir21,Schwarz21,Nero21,ブラック21,Negro21,Черный21,Negro21,Siyah21,Czarny21
113,0,0,0,黑22,Zwart22,Black22,Noir22,Schwarz22,Nero22,ブラック22,Negro22,Черный22,Negro22,Siyah22,Czarny22
114,0,0,0,黑23,Zwart23,Black23,Noir23,Schwarz23,Nero23,ブラック23,Negro23,Черный23,Negro23,Siyah23,Czarny23
115,0,0,0,黑24,Zwart24,Black24,Noir24,Schwarz24,Nero24,ブラック24,Negro24,Черный24,Negro24,Siyah24,Czarny24
116,0,0,0,黑25,Zwart25,Black25,Noir25,Schwarz25,Nero25,ブラック25,Negro25,Черный25,Negro25,Siyah25,Czarny25
117,0,0,0,黑26,Zwart26,Black26,Noir26,Schwarz26,Nero26,ブラック26,Negro26,Черный26,Negro26,Siyah26,Czarny26
118,0,0,0,黑27,Zwart27,Black27,Noir27,Schwarz27,Nero27,ブラック27,Negro27,Черный27,Negro27,Siyah27,Czarny27
119,0,0,0,黑28,Zwart28,Black28,Noir28,Schwarz28,Nero28,ブラック28,Negro28,Черный28,Negro28,Siyah28,Czarny28
120,0,0,0,黑29,Zwart29,Black29,Noir29,Schwarz29,Nero29,ブラック29,Negro29,Черный29,Negro29,Siyah29,Czarny29
