Color,ColorCode,Linetype,Type,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,DESCRIPTION_48
0,110,0,0,Negro19,黑19,Schwarz19,Black19,Noir19,Nero19,ブラック19,Zwart19,Negro19,Черный19,Siyah19,Czarny19
0,111,0,0,Negro20,黑20,Schwarz20,Black20,Noir20,Nero20,ブラック20,Zwart20,Negro20,Черный20,Siyah20,Czarny20
0,112,0,0,Negro21,黑21,Schwarz21,Black21,Noir21,Nero21,ブラック21,Zwart21,Negro21,Черный21,Siyah21,Czarny21
0,113,0,0,Negro22,黑22,Schwarz22,Black22,Noir22,Nero22,ブラック22,Zwart22,Negro22,Черный22,Siyah22,Czarny22
0,114,0,0,Negro23,黑23,Schwarz23,Black23,Noir23,Nero23,ブラック23,Zwart23,Negro23,Черный23,Siyah23,Czarny23
0,115,0,0,Negro24,黑24,Schwarz24,Black24,Noir24,Nero24,ブラック24,Zwart24,Negro24,Черный24,Siyah24,Czarny24
0,116,0,0,Negro25,黑25,Schwarz25,Black25,Noir25,Nero25,ブラック25,Zwart25,Negro25,Черный25,Siyah25,Czarny25
0,117,0,0,Negro26,黑26,Schwarz26,Black26,Noir26,Nero26,ブラック26,Zwart26,Negro26,Черный26,Siyah26,Czarny26
0,118,0,0,Negro27,黑27,Schwarz27,Black27,Noir27,Nero27,ブラック27,Zwart27,Negro27,Черный27,Siyah27,Czarny27
0,119,0,0,Negro28,黑28,Schwarz28,Black28,Noir28,Nero28,ブラック28,Zwart28,Negro28,Черный28,Siyah28,Czarny28
0,120,0,0,Negro29,黑29,Schwarz29,Black29,Noir29,Nero29,ブラック29,Zwart29,Negro29,Черный29,Siyah29,Czarny29
0,121,0,0,Negro30,黑30,Schwarz30,Black30,Noir30,Nero30,ブラック30,Zwart30,Negro30,Черный30,Siyah30,Czarny30
0,122,0,0,Negro31,黑31,Schwarz31,Black31,Noir31,Nero31,ブラック31,Zwart31,Negro31,Черный31,Siyah31,Czarny31
0,123,0,0,Negro32,黑32,Schwarz32,Black32,Noir32,Nero32,ブラック32,Zwart32,Negro32,Черный32,Siyah32,Czarny32
0,124,0,0,Negro33,黑33,Schwarz33,Black33,Noir33,Nero33,ブラック33,Zwart33,Negro33,Черный33,Siyah33,Czarny33
0,125,0,0,Negro34,黑34,Schwarz34,Black34,Noir34,Nero34,ブラック34,Zwart34,Negro34,Черный34,Siyah34,Czarny34
0,126,0,0,Negro35,黑35,Schwarz35,Black35,Noir35,Nero35,ブラック35,Zwart35,Negro35,Черный35,Siyah35,Czarny35
0,127,0,0,Negro36,黑36,Schwarz36,Black36,Noir36,Nero36,ブラック36,Zwart36,Negro36,Черный36,Siyah36,Czarny36
0,128,0,0,Negro37,黑37,Schwarz37,Black37,Noir37,Nero37,ブラック37,Zwart37,Negro37,Черный37,Siyah37,Czarny37
0,129,0,0,Negro38,黑38,Schwarz38,Black38,Noir38,Nero38,ブラック38,Zwart38,Negro38,Черный38,Siyah38,Czarny38
